destination,hotel_name,rating,review_count,price,distance
labuan bajo,The Seraya Resort Komodo,4.7,210,Rp 2.972.484,
labuan bajo,Flamingo Bajo,4.5,122,Rp 714.844,
labuan bajo,Katamaran Hotel & Resort Komodo,4.7,449,Rp 3.111.867,
labuan bajo,Komodo Suites Downtown,4.7,78,Rp 702.457,
labuan bajo,Crowne Plaza Labuan Bajo by IHG,4.8,71,Rp 2.121.856,
labuan bajo,Eco Tree O'tel,4.2,953,Rp 464.000,
labuan bajo,Hotel Dejavu 2.0 Labuan Bajo | Flores | Sea View | Harbor Nearby,3.8,119,Rp 523.395,
labuan bajo,Flamingo Avia Bajo,4.2,317,Rp 535.306,
labuan bajo,One Day Tour Komodo 6 Destination With Exclusive Speedboat Labuan Bajo - Mobile Home,,,Rp 1.414.757,
labuan bajo,Triple 8 Suites - Studio Suite Double,5.0,8,Rp 1.024.066,
labuan bajo,Harbour komodo hotel,4.5,259,Rp 782.715,
labuan bajo,Mohini Resort,4.4,443,Rp 1.049.690,
labuan bajo,La Cecile Komodo Hotel and Cafe,4.5,"1,545",Rp 1.038.251,
labuan bajo,Mawar Hotel,4.0,445,Rp 208.210,
labuan bajo,Pesona Bali,3.8,392,Rp 293.636,
labuan bajo,Oh!Julia Hotel Komodo,4.6,105,Rp 791.273,
labuan bajo,Exotic Komodo Hotel,4.2,812,Rp 297.104,
labuan bajo,Waecicu Eden Beach Hotel,3.8,183,Rp 1.001.196,
labuan bajo,"TA’AKTANA, a Luxury Collection Resort & Spa, Labuan Bajo",4.7,272,Rp 9.922.000,
labuan bajo,Parlezo Hotel,4.4,288,Rp 609.194,
labuan bajo,El Ora Inn & Eatery Labuan Bajo,4.7,423,Rp 323.633,
labuan bajo,Casa de Capulet,4.8,62,Rp 938.600,
labuan bajo,La Colina Komodo,4.4,8,Rp 359.738,
labuan bajo,Hotel Monte Prundi,4.6,11,Rp 850.490,
labuan bajo,"Sudamala Resort, Seraya",4.6,518,Rp 5.070.956,
labuan bajo,Blue Ocean Hotel,4.0,301,Rp 697.200,
labuan bajo,Manta Manta Guesthouse - Superior Double Room with AC,5.0,8,Rp 313.555,
labuan bajo,AYANA Komodo Waecicu Beach - Ocean View Room,4.9,8,Rp 3.676.759,
labuan bajo,Plataran Komodo Resort & Spa,4.7,750,,
labuan bajo,La Boheme Bajo Hostel,4.2,480,Rp 360.000,
labuan bajo,de nata,4.8,103,Rp 360.000,
labuan bajo,Maxima Pearl Hotel,4.2,109,Rp 338.355,
labuan bajo,Komodo Indah Hotel and Hostel,3.8,109,Rp 270.314,
labuan bajo,Hostel Labuan ORA,5.0,3,,
labuan bajo,Pu’u Pau Hostel & Coffee Shop,4.8,296,Rp 535.455,
labuan bajo,Villa Tasya,5.0,5,Rp 290.909,
labuan bajo,Green Prundi Hotel,4.1,434,Rp 222.459,
labuan bajo,Hotel Bonne Nuit,4.3,258,Rp 520.000,
labuan bajo,Komodo Lodge,4.1,482,Rp 545.988,
labuan bajo,Selini on the Hill Villas & Spa,3.7,285,Rp 709.857,
labuan bajo,Ntala Homestay,4.5,22,Rp 330.000,
labuan bajo,Siola Hotel,3.7,304,Rp 164.666,
labuan bajo,Paradise Garage,4.9,70,Rp 8.000.000,
labuan bajo,Elang Hillside Bamboo Villa,4.7,128,Rp 2.870.000,
labuan bajo,Pieterhomestay,4.5,25,Rp 225.000,
labuan bajo,Flamingo Ceria,4.4,95,Rp 675.075,
labuan bajo,DEJAVU 2.0 HOTEL BAJO KOMODO - Deluxe Double Room with Sea View,,,Rp 945.677,
labuan bajo,Triple 888 Suites - Junior Studio,,,Rp 1.127.511,
labuan bajo,Blue Parrot Komodo,4.5,127,,
labuan bajo,Palulu Garden Homestay,4.1,79,Rp 190.389,
labuan bajo,TRIPLE 888 SUITES,4.1,136,Rp 1.232.500,
labuan bajo,Matahari Hotel,3.8,340,Rp 406.876,
labuan bajo,Larensia,3.9,130,Rp 490.909,
labuan bajo,Sylvia Beach Villa,4.0,125,Rp 2.597.567,
labuan bajo,Bajo Bunk House,4.7,47,Rp 302.272,
labuan bajo,Back to Bajo Hostel Labuan Bajo,4.9,58,Rp 320.000,
labuan bajo,Golo Hilltop Hotel,4.5,356,,
labuan bajo,L Bajo Hotel,3.8,662,Rp 381.922,
labuan bajo,Orange Hotel,3.5,171,Rp 229.339,
labuan bajo,Coconut Beach Resort,4.2,70,,
labuan bajo,homestay nelayan,5.0,4,Rp 200.625,
labuan bajo,"Escape Bajo (Brew, Bite, Bed)",4.6,"1,548",,
labuan bajo,Angel Island Eco Resort,4.5,175,,
labuan bajo,Alila Purnama,5.0,3,,
labuan bajo,Bertus Guesthouse,4.4,31,Rp 272.727,
labuan bajo,Bajo Hotel,3.7,43,Rp 250.737,
labuan bajo,Bertus GuestHouse - Double Room with Private Bathroom,,,Rp 303.354,
labuan bajo,Triple 888 Suites,4.0,6,Rp 1.307.912,
labuan bajo,Harbourmaster Pool Villas,3.3,3,,
labuan bajo,Andira Home stay Labuan Bajo,3.1,21,Rp 270.424,
labuan bajo,Golo Tango Homestay,4.5,124,Rp 427.782,
labuan bajo,Manta Manta Homestay,4.0,208,Rp 310.000,
labuan bajo,FX hotel,,,Rp 207.247,
labuan bajo,Mehara Hotel,4.2,30,Rp 318.182,
labuan bajo,Vanesa hotel,4.2,18,,
labuan bajo,Tarsan Homestay,4.4,119,Rp 339.167,
labuan bajo,happy komodo hostel,3.5,27,Rp 1.336.501,
labuan bajo,Spring Hill Hotel,4.4,19,,
labuan bajo,Cempaka Hostel,4.3,23,,
labuan bajo,Bajo Nature Backpackers,4.4,192,,
labuan bajo,PW Homestay,4.8,59,,
labuan bajo,Bajo Sunset Hostel and Grill,3.9,170,Rp 530.000,
labuan bajo,Pembangunan Kawasan Labuan Bajo Inaya Bay komodo,3.8,10,,
labuan bajo,HOTEL DAN RESTORAN FRANS BERNARD,5.0,1,,
labuan bajo,Kos Mama Ros,3.5,8,Rp 309.091,
labuan bajo,Aulya Hotel Labuhanbajo,3.8,114,Rp 441.632,
labuan bajo,Pesona bali Room and restaurant - Deluxe Family Room,4.4,5,Rp 343.085,
labuan bajo,RedDoorz near Pantai Pede - Double Room,3.0,1,Rp 178.075,
labuan bajo,Vila Alam Flores Labuan Bajo,,,,
labuan bajo,Flores Ethnic,3.1,14,,
labuan bajo,EduTel,4.5,6,,
labuan bajo,Dorme Tree,4.4,77,,
labuan bajo,La Colina Komodo Hotel,3.3,175,Rp 440.500,
labuan bajo,Agus Family Homestay,4.1,10,Rp 163.636,
labuan bajo,Villa Seirama Alam,4.5,24,,
labuan bajo,Ecolodges Indonesia,,,,
labuan bajo,Andamari Luxury Phinisi,3.0,1,,
labuan bajo,sesesta hotel,,,,
labuan bajo,Wejang Asi Home Stay,5.0,1,,
labuan bajo,Angel Island Resort,,,,
labuan bajo,Blessing Hotel,3.7,104,,
labuan bajo,Hotel Surya,3.6,65,,
labuan bajo,Tutup,4.4,239,,
labuan bajo,Hotel Mutiara,3.9,141,,
labuan bajo,P.Adi Backpacker Homestay,4.2,5,,
labuan bajo,プラタナンコモドリゾート,,,,
labuan bajo,Agus Lodge - One-Bedroom Apartment,,,Rp 200.267,
labuan bajo,Golo Nara Seaside Villas - Double Room with Balcony and Sea View,,,Rp 2.136.006,
labuan bajo,Friedenshaus Kost & Hostel,5.0,2,,
labuan bajo,OYO 91230 Kelimutu Eco Village,,,,
labuan bajo,Bajo View (TEMPORARY CLOSED) Since 01 Dec 2017,3.6,56,,
labuan bajo,Casa Selini Cafe,3.7,10,,
labuan bajo,OYO 90974 Homestay Golo Koe Sejahtera,1.0,2,,
labuan bajo,bajo komodo dormitory,2.3,3,,
labuan bajo,Marvelous Phinisi,,,,
labuan bajo,HARMONI HOSTEL FOR BACKPACKER,3.3,7,,
labuan bajo,Clarita Homestay Labuan Bajo,,,,
labuan bajo,Agus Lodge,2.5,4,Rp 181.818,
labuan bajo,The Loft by Smoke House - Central Stay - Stairs Access - Deluxe Double Room with Balcony and Sea View,,,Rp 1.229.524,
labuan bajo,Waecicu Eden Beach Hotel - Premium Double Room with Sea View,4.5,8,Rp 2.660.209,
labuan bajo,Escape Bajo - 4-Bed Mixed Dormitory Room,5.0,8,Rp 736.282,
labuan bajo,Andira Homestay Labuan Bajo - Double or Twin Room,4.3,8,Rp 270.424,
labuan bajo,dAlvin: Room 5 | 10 Minutes From Airport,,,Rp 393.376,
labuan bajo,Komodo Shores Homestay - Double Room,,,,
labuan bajo,Nautilus Private Villa in Labuan Bajo with Pool,4.7,5,,
labuan bajo,Komodo tour 3Days2Night Depart every Friday Monday - Double Room with Private Bathroom,,,,
labuan bajo,Blue Parrot - Deluxe Double Room with Sea View,4.8,8,,
labuan bajo,Phinisi Hena Komodo Journey 4 Personer,,,,
labuan bajo,Komodo cruise,,,,
labuan bajo,De Chocolate Labuan Bajo,,,,
labuan bajo,"69 Resort & Beach Club by Loccal Collection, Labuan Bajo",,,,
labuan bajo,komodo 2 day 1 night,,,,
labuan bajo,Epic Sails Around Flores Sea!,,,,
labuan bajo,Paradise Garage Komodo Villa,,,,
labuan bajo,LaUnua,,,,
labuan bajo,AYANA Lako di'a,,,,
labuan bajo,The Container,3.8,18,,
labuan bajo,Blue Marlin Dive Komodo - Standard Double Room,4.8,8,,
labuan bajo,Dav-Venture - Deluxe Double Room with Sea View,,,,
