Wilayah,Nama_Pelabuhan,Latitude,Longitude
Nusa Tenggara Barat,Bangsal,-8.3921167,116.0986779
Nusa Tenggara Barat,Gili Gede,-8.740805,115.9258247
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.7669856,115.9365563
Nusa Tenggara Barat,Dermaga 2 Pototano,-8.5199601,116.8329884
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.7199699,116.0098126
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.4440429,118.7142162
Nusa Tenggara Barat,Pelabuhan Bima,-8.4473827,118.7129148
Nusa Tenggara Barat,Pelabuhan Gili Mas,-8.7414998,116.0613143
Nusa Tenggara Barat,Pelabuhan Bima,-8.4479536,118.7126416
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.3523691,116.06274
